trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
175,False,"{'a': 0.0861249650957507, 'e': 0.1722499301915014}",20,14,5.46477132911231,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.08526371544479318, 'e': 0.17052743088958636}",20,2,-37.128030233637624,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
177,False,"{'a': 0.08441107829034525, 'e': 0.1688221565806905}",30,17,1.3633672805829682,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
178,False,"{'a': 0.0835669675074418, 'e': 0.1671339350148836}",20,5,23.664111733471636,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.08273129783236738, 'e': 0.16546259566473476}",25,12,25.10664409968503,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.08190398485404371, 'e': 0.16380796970808742}",30,22,15.169847920279226,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.08108494500550327, 'e': 0.16216989001100654}",25,0,27.73038354262115,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
182,False,"{'a': 0.08027409555544823, 'e': 0.16054819111089647}",20,6,22.919608056924424,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.07947135459989375, 'e': 0.1589427091997875}",20,12,15.394866355097804,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.07867664105389481, 'e': 0.15735328210778962}",25,0,21.501891157364003,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
185,False,"{'a': 0.07788987464335587, 'e': 0.15577974928671173}",25,9,17.228936749655425,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.0771109758969223, 'e': 0.1542219517938446}",20,2,6.779342728778326,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
187,False,"{'a': 0.07633986613795309, 'e': 0.15267973227590617}",20,11,14.877815598676674,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.07557646747657355, 'e': 0.1511529349531471}",25,15,3.9835516723059197,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.07482070280180782, 'e': 0.14964140560361563}",20,9,17.470994217460657,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.07407249577378973, 'e': 0.14814499154757946}",25,0,31.284015073891926,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
191,False,"{'a': 0.07333177081605184, 'e': 0.14666354163210368}",25,8,-20.536360290485366,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
192,False,"{'a': 0.07259845310789131, 'e': 0.14519690621578263}",25,15,19.46029976309952,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.0718724685768124, 'e': 0.1437449371536248}",25,0,-11.73479158371889,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
194,False,"{'a': 0.07115374389104429, 'e': 0.14230748778208857}",20,3,16.73841249223436,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
195,False,"{'a': 0.07044220645213384, 'e': 0.14088441290426768}",25,4,32.343235729184144,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.0697377843876125, 'e': 0.139475568775225}",25,7,23.007834519718717,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.06904040654373637, 'e': 0.13808081308747275}",25,14,18.07719549024736,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.068350002478299, 'e': 0.136700004956598}",20,8,21.879890823646523,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.06766650245351602, 'e': 0.13533300490703204}",20,6,13.730215281823853,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.06698983742898086, 'e': 0.13397967485796172}",20,12,12.077174894457148,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.06631993905469105, 'e': 0.1326398781093821}",25,1,-29.764517100280848,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
202,False,"{'a': 0.06565673966414413, 'e': 0.13131347932828827}",30,11,20.821377241465015,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
203,False,"{'a': 0.0650001722675027, 'e': 0.1300003445350054}",30,15,0.46339821663425207,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
204,False,"{'a': 0.06435017054482767, 'e': 0.12870034108965533}",25,5,27.76300476680936,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.0637066688393794, 'e': 0.1274133376787588}",25,11,23.18969362700342,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.06306960215098559, 'e': 0.12613920430197118}",25,12,2.9709893038592696,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
207,False,"{'a': 0.06243890612947574, 'e': 0.12487781225895148}",25,11,27.556543263765448,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.06181451706818098, 'e': 0.12362903413636196}",30,22,1.8274942179399023,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
209,False,"{'a': 0.06119637189749917, 'e': 0.12239274379499834}",25,15,18.97105950776588,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.060584408178524174, 'e': 0.12116881635704835}",25,15,18.616182364375238,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.059978564096738934, 'e': 0.11995712819347787}",20,11,5.8286478866525115,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
212,False,"{'a': 0.059378778455771546, 'e': 0.11875755691154309}",25,0,24.39720820009848,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
213,False,"{'a': 0.05878499067121383, 'e': 0.11756998134242766}",25,13,23.313350777862933,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.05819714076450169, 'e': 0.11639428152900338}",20,10,17.69508657397656,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.05761516935685667, 'e': 0.11523033871371334}",30,16,25.955746925199435,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.0570390176632881, 'e': 0.1140780353265762}",20,9,20.148084271062483,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.05646862748665522, 'e': 0.11293725497331045}",20,13,-28.389498184143243,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
218,False,"{'a': 0.05590394121178867, 'e': 0.11180788242357734}",20,11,17.17250814627539,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.05534490179967078, 'e': 0.11068980359934157}",35,23,9.794459916984184,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
220,False,"{'a': 0.05479145278167408, 'e': 0.10958290556334815}",25,10,-4.7360254148662735,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
221,False,"{'a': 0.05424353825385733, 'e': 0.10848707650771466}",20,12,15.779110257705081,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.05370110287131876, 'e': 0.10740220574263752}",20,2,32.94269913299413,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.05316409184260557, 'e': 0.10632818368521114}",30,21,18.01765694256276,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.052632450924179515, 'e': 0.10526490184835903}",30,0,41.536844641239654,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
